#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACACA	APOB	9606.ENSP00000483300	9606.ENSP00000233242	0	0	0	0	0.062	0	0	0.467	0.478
ACACA	PPARG	9606.ENSP00000483300	9606.ENSP00000287820	0	0	0	0	0.049	0	0	0.682	0.685
ACACA	HMGCR	9606.ENSP00000483300	9606.ENSP00000287936	0.050	0	0	0	0.069	0	0	0.768	0.777
ACACA	FASN	9606.ENSP00000483300	9606.ENSP00000304592	0.056	0	0	0	0.684	0.068	0.900	0.922	0.997
ACACA	SLC2A4	9606.ENSP00000483300	9606.ENSP00000320935	0	0	0	0	0.063	0	0	0.528	0.538
ACACA	SREBF1	9606.ENSP00000483300	9606.ENSP00000348069	0	0	0	0	0.084	0	0.900	0.888	0.988
ACACA	PTEN	9606.ENSP00000483300	9606.ENSP00000361021	0	0	0	0	0	0.270	0	0.261	0.437
ACACA	PPARA	9606.ENSP00000483300	9606.ENSP00000385523	0	0	0	0	0.062	0	0	0.707	0.713
ACACA	ADIPOQ	9606.ENSP00000483300	9606.ENSP00000389814	0	0	0	0	0.065	0	0	0.553	0.564
ACACA	MTTP	9606.ENSP00000483300	9606.ENSP00000427679	0	0	0	0	0.049	0	0	0.527	0.531
ACACA	AKT1	9606.ENSP00000483300	9606.ENSP00000451828	0	0	0	0	0	0	0	0.460	0.460
ACACA	LDLR	9606.ENSP00000483300	9606.ENSP00000454071	0	0	0	0	0	0	0	0.465	0.465
ADH1A	CAT	9606.ENSP00000209668	9606.ENSP00000241052	0	0	0	0	0.062	0	0	0.410	0.423
ADH1A	MAOA	9606.ENSP00000209668	9606.ENSP00000340684	0	0	0	0	0.097	0	0.650	0.205	0.727
ADH1A	GSTM2	9606.ENSP00000209668	9606.ENSP00000241337	0	0	0	0	0.062	0.166	0.650	0.187	0.747
ADH1A	GSTM1	9606.ENSP00000209668	9606.ENSP00000311469	0	0	0	0	0.062	0.166	0.650	0.273	0.774
ADH1A	GSTP1	9606.ENSP00000209668	9606.ENSP00000381607	0	0	0	0	0	0.166	0.650	0.416	0.814
ADH1A	ADH1C	9606.ENSP00000209668	9606.ENSP00000426083	0	0	0.449	0.985	0.182	0	0.800	0.859	0.832
ADH1A	ADH1B	9606.ENSP00000209668	9606.ENSP00000306606	0	0	0.449	0.985	0.828	0	0.800	0.892	0.964
ADH1B	CAT	9606.ENSP00000306606	9606.ENSP00000241052	0	0	0	0	0.062	0	0	0.387	0.400
ADH1B	GSTM2	9606.ENSP00000306606	9606.ENSP00000241337	0	0	0	0	0.062	0.166	0.650	0.146	0.735
ADH1B	SLC6A4	9606.ENSP00000306606	9606.ENSP00000261707	0	0	0	0	0	0	0	0.423	0.422
ADH1B	DRD2	9606.ENSP00000306606	9606.ENSP00000354859	0	0	0	0	0	0	0	0.504	0.504
ADH1B	GSTP1	9606.ENSP00000306606	9606.ENSP00000381607	0	0	0	0	0	0.166	0.650	0.325	0.785
ADH1B	GSTM1	9606.ENSP00000306606	9606.ENSP00000311469	0	0	0	0	0.062	0.166	0.650	0.401	0.814
ADH1B	ADH1C	9606.ENSP00000306606	9606.ENSP00000426083	0	0	0.449	0.986	0.179	0.660	0.800	0.912	0.940
ADH1B	MAOA	9606.ENSP00000306606	9606.ENSP00000340684	0	0	0	0	0.104	0	0.900	0.409	0.942
ADH1C	GSTM2	9606.ENSP00000426083	9606.ENSP00000241337	0	0	0	0	0.062	0.166	0.650	0.136	0.731
ADH1C	GSTM1	9606.ENSP00000426083	9606.ENSP00000311469	0	0	0	0	0.062	0.166	0.650	0.392	0.811
